               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096594,            0.018419,            0.091962,           0.0047736,             0.48283,            0.012834,           0.0045642,            0.061174,            0.011313,             0.08927,            0.070181,           0.0033133,           0.0033133
                   1,            0.059809,            0.011468,             0.08551,             0.59631,            0.056095,            0.021834,           0.0094892,            0.052951,           0.0083076,            0.085061,            0.040115,           0.0065808,           0.0065808
                   2,            0.056159,           0.0098154,            0.083529,             0.57539,            0.074736,            0.032889,            0.014501,            0.050663,           0.0072697,            0.083189,           0.0099831,           0.0097823,           0.0097823
                   3,            0.052985,           0.0080382,            0.080963,             0.51749,            0.085983,             0.05403,            0.027854,            0.045067,           0.0060739,            0.080123,            0.009703,            0.009703,            0.009703
                   4,            0.049407,           0.0072194,            0.077927,             0.69442,            0.096724,            0.077782,            0.039674,            0.041607,            0.005625,            0.076748,            0.009703,            0.009703,            0.009703
                   5,            0.047476,           0.0052313,            0.072604,             0.72648,            0.082384,            0.074993,            0.041717,            0.045776,           0.0062637,             0.07612,            0.009604,            0.009604,            0.009604
                   6,            0.050121,           0.0055315,            0.072628,             0.70138,            0.071584,            0.074551,              0.0416,            0.046956,           0.0073092,            0.075091,            0.009505,            0.009505,            0.009505
                   7,            0.047318,           0.0057329,            0.068542,              0.7156,             0.10037,            0.080021,            0.042797,            0.048178,           0.0068276,            0.074456,            0.009406,            0.009406,            0.009406
                   8,             0.04723,           0.0055635,            0.068997,             0.69061,             0.10553,            0.090327,            0.046554,             0.04389,           0.0069365,            0.073938,            0.009307,            0.009307,            0.009307
                   9,            0.047236,           0.0054383,            0.068016,             0.65011,             0.09927,            0.082198,            0.042422,            0.046038,           0.0077273,            0.072719,            0.009208,            0.009208,            0.009208
                  10,            0.045729,           0.0054206,            0.065191,             0.61405,             0.13948,             0.10619,            0.056627,            0.043004,           0.0068362,            0.071555,            0.009109,            0.009109,            0.009109
                  11,            0.043997,            0.005127,               0.063,             0.59779,             0.15777,             0.10945,            0.061077,            0.042225,           0.0067957,            0.071091,             0.00901,             0.00901,             0.00901
                  12,            0.042564,           0.0052566,            0.062906,              0.6166,             0.16698,              0.1242,            0.067766,            0.040768,             0.00646,            0.070208,            0.008911,            0.008911,            0.008911
                  13,            0.041943,           0.0053486,            0.064725,             0.61747,             0.17762,             0.13403,            0.073225,            0.043632,           0.0067378,             0.06937,            0.008812,            0.008812,            0.008812
                  14,            0.044071,            0.005545,            0.064196,             0.59178,             0.18533,             0.13023,            0.073029,            0.043183,           0.0064551,            0.069286,            0.008713,            0.008713,            0.008713
                  15,            0.042048,           0.0052661,            0.064987,             0.56463,             0.15898,             0.12405,            0.068565,            0.040901,           0.0070838,            0.069665,            0.008614,            0.008614,            0.008614
                  16,            0.040901,           0.0052364,            0.061979,             0.62151,             0.20017,             0.14391,            0.079804,            0.039556,           0.0062636,            0.068497,            0.008515,            0.008515,            0.008515
                  17,            0.039213,           0.0051917,            0.060897,             0.55877,              0.2171,             0.15231,            0.085969,            0.038743,           0.0063313,            0.067864,            0.008416,            0.008416,            0.008416
                  18,            0.040702,            0.005181,            0.063914,             0.49611,             0.20103,                0.15,            0.084811,            0.039464,           0.0066241,            0.067354,            0.008317,            0.008317,            0.008317
                  19,            0.040809,           0.0053347,            0.061427,             0.54828,             0.21982,             0.15474,            0.088508,            0.038908,           0.0066177,            0.066855,            0.008218,            0.008218,            0.008218
                  20,            0.039912,           0.0068542,            0.065102,             0.53013,             0.26865,             0.17578,             0.10872,            0.034851,           0.0052359,            0.064652,            0.008119,            0.008119,            0.008119
                  21,            0.038824,           0.0061398,            0.062714,              0.4399,             0.30449,             0.18989,             0.11529,            0.034775,           0.0049548,            0.062945,             0.00802,             0.00802,             0.00802
                  22,             0.03821,           0.0061502,            0.061146,             0.50045,             0.30583,             0.20914,             0.13143,            0.032643,           0.0047955,            0.061258,            0.007921,            0.007921,            0.007921
                  23,            0.037702,           0.0059388,            0.059767,             0.47446,             0.30549,             0.21843,              0.1373,            0.033883,           0.0047132,            0.059872,            0.007822,            0.007822,            0.007822
                  24,            0.037348,           0.0058918,            0.058799,             0.51809,             0.32176,             0.22755,             0.14304,            0.032677,           0.0046214,            0.058611,            0.007723,            0.007723,            0.007723
                  25,            0.036793,           0.0056759,            0.057219,             0.52638,             0.31377,             0.24653,             0.15707,              0.0338,           0.0045823,            0.057596,            0.007624,            0.007624,            0.007624
                  26,            0.035979,           0.0057551,            0.056254,             0.51395,             0.33886,             0.25667,             0.15922,            0.033911,           0.0045265,            0.056509,            0.007525,            0.007525,            0.007525
                  27,            0.036914,           0.0055173,            0.054791,                0.53,             0.35564,             0.27146,             0.17623,            0.033879,             0.00449,            0.055698,            0.007426,            0.007426,            0.007426
                  28,             0.03631,           0.0056427,             0.05422,             0.58853,             0.34359,             0.27719,             0.17462,            0.032012,           0.0044109,            0.054983,            0.007327,            0.007327,            0.007327
                  29,            0.035543,           0.0055165,            0.053302,             0.55078,             0.36934,             0.28297,             0.18572,            0.032758,           0.0044416,            0.054253,            0.007228,            0.007228,            0.007228
