               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087275,             0.04049,            0.033105,             0.27023,             0.21333,            0.095003,            0.050494,             0.07499,            0.022956,            0.018843,              0.0704,           0.0032889,           0.0032889
                   1,            0.065936,            0.029203,            0.018383,             0.76632,             0.22933,             0.24203,             0.11824,            0.065678,            0.015855,            0.017202,            0.040334,           0.0065567,           0.0065567
                   2,            0.062795,            0.026081,            0.016083,             0.34117,             0.54784,             0.50525,             0.27111,             0.05305,            0.016033,            0.014307,            0.010203,           0.0097584,           0.0097584
                   3,            0.054473,            0.024554,            0.013333,             0.32645,             0.58125,             0.42805,             0.17949,            0.049394,            0.015297,            0.012457,            0.009703,            0.009703,            0.009703
                   4,            0.047575,            0.024588,            0.010638,             0.67793,             0.59367,             0.65951,             0.39034,            0.041882,            0.014874,            0.011403,            0.009703,            0.009703,            0.009703
                   5,            0.043394,            0.023573,            0.009133,             0.58276,             0.67551,             0.70824,             0.38618,             0.04311,            0.015245,            0.010475,            0.009604,            0.009604,            0.009604
                   6,            0.040016,            0.022385,           0.0081586,              0.6166,             0.64536,             0.66717,             0.37645,            0.036772,            0.015253,            0.011031,            0.009505,            0.009505,            0.009505
                   7,            0.038314,            0.022211,           0.0077732,             0.62213,             0.69496,             0.66252,              0.3865,            0.039968,            0.014669,            0.010995,            0.009406,            0.009406,            0.009406
                   8,            0.037341,            0.022579,           0.0072818,             0.64585,             0.69432,             0.69301,             0.39583,            0.036228,            0.015008,           0.0094579,            0.009307,            0.009307,            0.009307
                   9,             0.03577,            0.022481,           0.0067139,             0.76186,             0.58517,             0.68565,             0.42086,            0.036398,            0.014949,           0.0096059,            0.009208,            0.009208,            0.009208
                  10,            0.035011,            0.021531,           0.0065218,             0.66824,             0.68755,              0.7072,              0.4235,            0.036073,            0.015116,            0.012139,            0.009109,            0.009109,            0.009109
                  11,            0.034565,            0.021731,           0.0058554,             0.74217,             0.64002,             0.67507,             0.40877,            0.033904,            0.014589,            0.011772,             0.00901,             0.00901,             0.00901
                  12,            0.033941,            0.021672,           0.0060853,             0.80017,             0.62794,             0.71381,             0.43393,            0.035012,            0.014558,           0.0087497,            0.008911,            0.008911,            0.008911
                  13,             0.03316,            0.021965,            0.005965,             0.73102,             0.66349,             0.74405,             0.45495,            0.035264,            0.014679,            0.010153,            0.008812,            0.008812,            0.008812
                  14,            0.032061,            0.021621,           0.0057972,             0.77606,             0.59835,             0.71388,             0.46699,            0.032494,            0.014625,            0.008337,            0.008713,            0.008713,            0.008713
                  15,            0.031998,            0.021356,           0.0050489,             0.78206,             0.65395,             0.73269,             0.46265,            0.032943,            0.014189,            0.008724,            0.008614,            0.008614,            0.008614
                  16,            0.031518,            0.020753,           0.0054119,             0.76455,             0.68643,             0.76386,             0.46476,            0.033746,            0.014475,           0.0088391,            0.008515,            0.008515,            0.008515
                  17,            0.031673,            0.020819,           0.0054865,               0.761,             0.64978,               0.727,             0.44664,            0.030348,            0.014433,           0.0094253,            0.008416,            0.008416,            0.008416
                  18,            0.031043,            0.020262,           0.0053224,             0.72061,             0.64377,             0.68561,             0.41782,            0.032387,             0.01421,            0.011153,            0.008317,            0.008317,            0.008317
                  19,            0.030053,            0.020162,           0.0049096,             0.65639,             0.67654,             0.70058,             0.42971,            0.032286,            0.014324,           0.0093428,            0.008218,            0.008218,            0.008218
                  20,            0.030175,             0.02057,           0.0043756,             0.72435,             0.65274,             0.71455,             0.46601,             0.03297,            0.013675,           0.0090247,            0.008119,            0.008119,            0.008119
                  21,            0.029785,            0.019716,           0.0047306,             0.75316,             0.66657,             0.71082,             0.42511,            0.033376,            0.013782,             0.01192,             0.00802,             0.00802,             0.00802
                  22,            0.029398,            0.019814,           0.0040942,              0.6588,             0.69933,             0.73832,             0.49199,            0.031838,            0.014084,            0.009877,            0.007921,            0.007921,            0.007921
                  23,            0.028873,            0.020727,           0.0043827,             0.75439,             0.59073,               0.726,             0.48126,            0.030936,            0.014386,            0.010803,            0.007822,            0.007822,            0.007822
                  24,            0.028848,            0.019627,           0.0037773,             0.78415,             0.62058,             0.72422,             0.47443,             0.03359,            0.014786,             0.01033,            0.007723,            0.007723,            0.007723
                  25,            0.028808,            0.019653,            0.004247,             0.69171,             0.71179,             0.73559,             0.46536,            0.033581,            0.014083,           0.0090453,            0.007624,            0.007624,            0.007624
                  26,            0.028641,             0.01939,           0.0041465,             0.73975,             0.68158,             0.73329,             0.45425,            0.031635,            0.013872,            0.010239,            0.007525,            0.007525,            0.007525
                  27,            0.027802,            0.018478,           0.0037369,             0.76907,             0.73276,             0.77884,             0.48287,            0.032384,            0.014328,            0.009772,            0.007426,            0.007426,            0.007426
                  28,             0.02781,            0.019407,           0.0035474,             0.85924,             0.66948,             0.79311,             0.48238,            0.030333,            0.014137,            0.010302,            0.007327,            0.007327,            0.007327
                  29,            0.026928,            0.019028,           0.0034431,             0.68814,             0.70191,             0.74769,             0.48554,            0.029681,            0.014493,           0.0088916,            0.007228,            0.007228,            0.007228
                  30,            0.027049,            0.018263,            0.003423,             0.74456,             0.60969,             0.72229,             0.48301,            0.029812,            0.014422,            0.010617,            0.007129,            0.007129,            0.007129
                  31,            0.026577,            0.018245,           0.0035793,             0.84879,             0.60972,             0.74948,             0.50714,            0.030031,            0.014325,           0.0087681,             0.00703,             0.00703,             0.00703
                  32,            0.026077,            0.018349,           0.0034375,             0.82007,             0.60746,             0.73244,             0.48204,            0.029492,            0.014581,           0.0096011,            0.006931,            0.006931,            0.006931
                  33,            0.027159,            0.018542,           0.0034349,             0.78826,             0.68718,             0.77057,              0.4887,            0.029152,            0.014025,           0.0094396,            0.006832,            0.006832,            0.006832
                  34,            0.026472,            0.018534,           0.0032772,             0.82657,             0.65656,             0.75246,             0.50205,             0.02866,            0.013653,           0.0084832,            0.006733,            0.006733,            0.006733
                  35,            0.025305,            0.018218,           0.0033819,             0.80457,             0.61333,             0.73164,             0.49288,            0.029953,            0.014062,            0.011298,            0.006634,            0.006634,            0.006634
                  36,            0.025184,            0.017946,            0.003347,             0.76021,             0.62469,             0.75272,             0.50904,            0.030084,            0.013992,           0.0081881,            0.006535,            0.006535,            0.006535
                  37,            0.025071,             0.01813,           0.0029254,             0.67913,             0.67976,             0.73873,             0.48475,            0.029752,            0.014574,           0.0099356,            0.006436,            0.006436,            0.006436
